DB Subjects count: 112
  DB Sub: id=70, name='Attendance', class='Nursery', c_norm='Nursery', s_norm='attendance'
  DB Sub: id=71, name='English', class='Upper Nursery', c_norm='Upper Nursery', s_norm='english'
  DB Sub: id=72, name='Bengali', class='Upper Nursery', c_norm='Upper Nursery', s_norm='bengali'
  DB Sub: id=73, name='Arabic', class='Upper Nursery', c_norm='Upper Nursery', s_norm='arabic'
  DB Sub: id=74, name='Mathematics', class='Upper Nursery', c_norm='Upper Nursery', s_norm='mathematics'
  DB Sub: id=75, name='Science', class='Upper Nursery', c_norm='Upper Nursery', s_norm='science'
  DB Sub: id=76, name='G.K.', class='Upper Nursery', c_norm='Upper Nursery', s_norm='general knowledge'
  DB Sub: id=77, name='E.V.S', class='Upper Nursery', c_norm='Upper Nursery', s_norm='science'
  DB Sub: id=78, name='Hindi', class='Upper Nursery', c_norm='Upper Nursery', s_norm='hindi'
  DB Sub: id=79, name='Art', class='Upper Nursery', c_norm='Upper Nursery', s_norm='art'
  DB Sub: id=80, name='Physical Education', class='Upper Nursery', c_norm='Upper Nursery', s_norm='physical education'
  DB Sub: id=81, name='Work Education', class='Upper Nursery', c_norm='Upper Nursery', s_norm='work education'
  DB Sub: id=82, name='Hand Writing', class='Upper Nursery', c_norm='Upper Nursery', s_norm='hand writing'
  DB Sub: id=83, name='Behaviour', class='Upper Nursery', c_norm='Upper Nursery', s_norm='behaviour'
  DB Sub: id=84, name='Attendance', class='Upper Nursery', c_norm='Upper Nursery', s_norm='attendance'
  DB Sub: id=85, name='English', class='V', c_norm='V', s_norm='english'
  DB Sub: id=86, name='Bengali', class='V', c_norm='V', s_norm='bengali'
  DB Sub: id=87, name='Arabic', class='V', c_norm='V', s_norm='arabic'
  DB Sub: id=88, name='Mathematics', class='V', c_norm='V', s_norm='mathematics'
  DB Sub: id=89, name='Science', class='V', c_norm='V', s_norm='science'
  DB Sub: id=90, name='G.K.', class='V', c_norm='V', s_norm='general knowledge'
  DB Sub: id=91, name='E.V.S', class='V', c_norm='V', s_norm='science'
  DB Sub: id=92, name='Hindi', class='V', c_norm='V', s_norm='hindi'
  DB Sub: id=93, name='Art', class='V', c_norm='V', s_norm='art'
  DB Sub: id=94, name='Physical Education', class='V', c_norm='V', s_norm='physical education'
  DB Sub: id=95, name='Work Education', class='V', c_norm='V', s_norm='work education'
  DB Sub: id=96, name='Hand Writing', class='V', c_norm='V', s_norm='hand writing'
  DB Sub: id=97, name='Behaviour', class='V', c_norm='V', s_norm='behaviour'
  DB Sub: id=98, name='Attendance', class='V', c_norm='V', s_norm='attendance'
  DB Sub: id=99, name='English', class='VI', c_norm='VI', s_norm='english'
  DB Sub: id=100, name='Bengali', class='VI', c_norm='VI', s_norm='bengali'
  DB Sub: id=101, name='Arabic', class='VI', c_norm='VI', s_norm='arabic'
  DB Sub: id=102, name='Mathematics', class='VI', c_norm='VI', s_norm='mathematics'
  DB Sub: id=103, name='Science', class='VI', c_norm='VI', s_norm='science'
  DB Sub: id=104, name='G.K.', class='VI', c_norm='VI', s_norm='general knowledge'
  DB Sub: id=105, name='E.V.S', class='VI', c_norm='VI', s_norm='science'
  DB Sub: id=106, name='Hindi', class='VI', c_norm='VI', s_norm='hindi'
  DB Sub: id=107, name='Art', class='VI', c_norm='VI', s_norm='art'
  DB Sub: id=108, name='Physical Education', class='VI', c_norm='VI', s_norm='physical education'
  DB Sub: id=109, name='Work Education', class='VI', c_norm='VI', s_norm='work education'
  DB Sub: id=110, name='Hand Writing', class='VI', c_norm='VI', s_norm='hand writing'
  DB Sub: id=111, name='Behaviour', class='VI', c_norm='VI', s_norm='behaviour'
  DB Sub: id=112, name='Attendance', class='VI', c_norm='VI', s_norm='attendance'
Teachers count: 0
